"Species","Micro/mega","Family","Clade","n","MBODY, g","MBRAIN, g","NBRAIN"
"Cardioderma cor","Microbat","Megadermatidae","Rhinolophoidea","2 (1H each)",26,0.562,81331192
"Coleura afra","Microbat","Emballonuridae","Yangochiroptera","2 (1H each)",11.5,0.244,58580214
"Triaenops persicus","Microbat","Hipposideridae","Rhinolophoidea","2 (1H each)",13.7,0.251,69762924
"Hipposideros commersoni","Microbat","Hipposideridae","Rhinolophoidea","2 females (1H each)",101.9,0.588,66718833
"Chaerephon pumilus","Microbat","Molossidae","Yangochiroptera","2 (1 female) (2H each)",5.4,0.208,34958391
"Miniopterus schreibersii","Microbat","Miniopteridae","Yangochiroptera","2 (1H each)",11.6,0.219,55658777
"Epomophorus wahlbergi","Megabat","Pteropodidae","Pteropodidae","2 females (1H each)",74,1.224,161754633
"Rousettus aegyptiacus","Megabat","Pteropodidae","Pteropodidae","2 (1 female) (1H each)",120,1.778,172232047
"Megaloglossus woermanni","Megabat","Pteropodidae","Pteropodidae","2 (1H each)",17.9,0.55,65728366
"Hypsignathus mostrosus","Megabat","Pteropodidae","Pteropodidae","2 (1 female) (1H each)",310,3.459,274519253
"Epomops franqueti","Megabat","Pteropodidae","Pteropodidae","2 (1H each)",120,2.044,186002499
"Casinycteris argynnis","Megabat","Pteropodidae","Pteropodidae","2 (1H each)",27,0.892,99016077
"Scotonycteris zenkeri","Megabat","Pteropodidae","Pteropodidae","2 (1H each)",16.1,0.588,65594971
