"Species"	"Micro/mega"	"Family"	"NCX"	"NCB"	"NRoB"	"DN,CX"	"DN,Cb"	"DN,RoB"
"Cardioderma cor"	"Microbat"	"Megadermatidae"	10221440	63792242	7317510	39766	616497	36367
"Coleura afra"	"Microbat"	"Emballonuridae"	5080428	47984992	5514794	56460	888050	55816
"Triaenops persicus"	"Microbat"	"Hipposideridae"	6039272	59651487	4072165	64765	820968	47981
"Hipposideros commersoni"	"Microbat"	"Hipposideridae"	7877834	51875702	6965297	32406	483525	29267
"Chaerephon pumilus"	"Microbat"	"Molossidae"	5632618	25324375	4001397	66967	697515	47232
"Miniopterus schreibersii"	"Microbat"	"Miniopteridae"	6116028	44447776	5094974	71277	915845	59204
"Epomophorus wahlbergi"	"Megabat"	"Pteropodidae"	26201540	121136246	14416846	41326	626067	37309
"Rousettus aegyptiacus"	"Megabat"	"Pteropodidae"	28859259	132436158	10936630	29287	602896	19962
"Megaloglossus woermanni"	"Megabat"	"Pteropodidae"	11897169	49734021	4097177	38490	627122	25755
"Hypsignathus monstrosus"	"Megabat"	"Pteropodidae"	24343593	221298619	28877041	13481	484806	24684
"Epomops franqueti"	"Megabat"	"Pteropodidae"	22533501	150660138	12808860	21663	525829	17986
"Casinycteris argynnis"	"Megabat"	"Pteropodidae"	10471765	77445413	11098900	22666	605042	36751
"Scotonycteris zenkeri"	"Megabat"	"Pteropodidae"	12847119	47217961	5529891	39652	549046	31067
