Species	Sex	p-value	ECV mean		n		
			Wild	Captive	Wild	Captive	Captives are:
Arctocebus calabarensis	both	0.091	6.77	7.82	18	3	captive-bred
Callithrix penicillata	both	0.001	7.66	6.7	17	12	wild-born?
Cheirogaleus major	both	0.091	5.9	5.47	10	3	wild-born?
Eulemur mongoz	both	0.182	18.89	20.97	8	3	wild-born
Lemur catta	both	0.545	22.24	23.34	6	4	captive-bred
Leontopithecus rosalia	both	0.274	12.48	13.17	3	4	captive-bred
Macaca mulatta	female	0.282	81.5	84.64	8	50	captive-bred
Macaca mulatta	male	0.282	91.59	94.6	13	31	captive-bred
Mandrillus sphinx	male	0.342	159.69	167.05	13	3	wild-born?
Otolemur garnettii	both	0.011	10.24	11.54	15	14	captive-bred
Pan troglodytes	female	0.571	347.15	354.17	50	6	wild-born?
Pan troglodytes	male	0.073	381.59	417	47	5	wild-born?
Papio anubis	male	0.385	183	177	15	3	captive-bred
Saguinus fuscicollis	both	0.413	8.02	7.83	22	6	captive-bred
Saimiri sciureus	both	0.438	24.15	23.61	88	16	captive-bred
Tarsius syrichta	both	0.321	3.28	3.51	6	3	wild-born
Varecia sp.	both	0.323	31.83	33.01	10	4	captive-bred
