Species	n	Slope: mean ± s.e.	r2	Body mass dimorphism
Alouatta seniculus	31	0.207 ± 0.047	0.401	1.28
Aotus lemurinus	31	−0.122 ± 0.080	0.074	1.05
Cebus apella	41	0.128 ± 0.055	0.124	1.36
Cebus capucinus	23	0.054 ± 0.047	0.059	1.35
Cebus libidinosus	47	0.067 ± 0.044	0.05	1.38
Cebus nigritus	87	0.149 ± 0.036	0.17	1.47
Cebus nigritus X libidinosus	33	0.147 ± 0.073	0.115	1.45
Cercopithecus albogularis	31	0.178 ± 0.052	0.29	1.64
Cercopithecus petaurista	18	0.255 ± 0.074	0.424	1.47
Chlorocebus pygerythrus	60	0.221 ± 0.031	0.464	1.42
Colobus guereza	29	0.318 ± 0.070	0.435	1.29
Galago demidoff	27	0.092 ± 0.079	0.051	1.04
Galago moholi	49	0.063 ± 0.052	0.031	1.02
Galago senegalensis	193	0.123 ± 0.031	0.075	1.07
Hylobates lar	94	0.098 ± 0.051	0.036	1.08
Macaca fascicularis	92	0.184 ± 0.038	0.206	1.42
Macaca mulatta	82	0.215 ± 0.035	0.321	1.4
Macaca nemestrina	20	0.200 ± 0.054	0.433	1.7
Nasalis larvatus	37	0.241 ± 0.027	0.69	1.99
Papio anubis	19	0.307 ± 0.049	0.695	1.73
Perodicticus potto	29	0.072 ± 0.067	0.041	0.92
Pongo pygmaeus	18	0.279 ± 0.068	0.511	2.17
Presbytis melalophos	21	0.160 ± 0.192	0.035	1
Presbytis rubicunda	50	0.144 ± 0.102	0.039	1.01
Saguinus fuscicollis	21	0.078 ± 0.081	0.046	1.02
Saguinus oedipus	49	0.238 ± 0.054	0.291	0.94
Saimiri sciureus	76	0.059 ± 0.063	0.012	1.15
Trachypithecus cristatus	25	0.377 ± 0.161	0.193	1.11
Trachypithecus obscurus	28	0.173 ± 0.101	0.102	1.09
