"Count Taxonomy"	"Order"	"Suborder"	"Infraorder"	"Parvorder"	"Superfamily"	"Family"	"Subfamily"	"Species group"	"Species"	"Subspecies"	"Data quality (ok if ≥ 4 individuals, at least 2m and 2f in anthropoids)"	"Calculation of ECV species mean"	"Source of ECV"	"Source of body mass"	"ECV male mean"	"ECV female mean"	"ECV species mean"	"N male"	"N female"	"N species"	"Body mass male mean"	"Body mass female mean"	"Body mass species mean"	"N body mass male"	"N body mass female"	"N body mass species"
1	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Allenopithecus nigroviridis"		"ok"	"m/f"	"Pooled (this study and Verheyen 1962)"	"Smith and Jungers 1997"	62.35	53.70	58.02	6	7	13	6130	3180	4655	5	1	6
2	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Cercocebus atys"		"ok"	"m/f"	"This study"	"Smith and Jungers 1997"	102.55	86.80	94.68	10	10	20	11000	6200	8600	3	4	7
3	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"		"Cercocebus torquatus"		"ok"	"m/f"	"This study"	"Smith and Jungers 1997"	117.00	94.98	105.99	4	3	7	9470	5500	7485	9	1	10
4	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus cephus group"	"Cercopithecus ascanius"		"ok"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	64.25	54.90	59.58	16	7	23	4528	2901	3714	12	3	15
5	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus cephus group"	"Cercopithecus cephus"		"ok"	"m/f"	"This study"	"Smith and Jungers 1997"	68.84	61.69	65.26	13	13	26	4290	2880	3585	15	10	25
6	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus cephus group"	"Cercopithecus erythrotis"		"ok"	"m/f"	"Male: this study; species mean: Harvey and Clutton-Brock 1985"	"Smith and Jungers 1997 (n unknown, from graph in Haltenorth and Diller 1980)"	71.46		65.40	1	0	"?"	3600	2900	3250			
7	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus cephus group"	"Cercopithecus petaurista"		"ok"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	58.08	52.07	55.08	17	22	39	4300	2918	3609	7	11	18
8	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus diana group"	"Cercopithecus diana"		"ok"	"m/f"	"This study"	"Smith and Jungers 1997"	70.07	55.15	62.61	10	10	20	5200	3900	4550	4	11	15
9	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus lhoesti group"	"Cercopithecus lhoesti"		"ok"	"m/f"	"Verheyen 1962"	"Smith and Jungers 1997"	81.10	67.30	74.20	10	7	17	5970	3450	4710	19	50	69
10	"Primates"	"Haplorrhini"	"Simiiformes"	"Catarrhini"	"Cercopithecoidea"	"Cercopithecidae"	"Cercopithecinae"	"Cercopithecus mitis group"	"Cercopithecus albogularis"		"ok"	"m/f"	"This study"	"This study, same specimens as ECV measurements"	74.04	66.16	70.10	16	17	33	6978	4262	5620	15	16	31
