"Count"	"Usage"	"Genus species"	"Body mass (g)"	"BMR (ml O2/h)"	"Sources BMR"	"Female body mass (g)"	"Gestation length (d)"	"Lactation length (d)"	"Source gestation length"	"Source lactation length"	"Remarks BMR"
1	"Yes"	"Aotus trivirgatus"	1021.0	455.50	"LeMaho 1981"	933.33	133	76	"Martin 2007"	"Lee et al. 1991"	"Average of 7 individuals, closed circuit"
2	"Yes"	"Alouatta palliata"	4670.0	2000.26	"Milton et al. 1979"	5350	186	502	"Martin 2007"	"Godfrey et al. 2001"	"Similar in White and Seymour 2004 (2056.4), also listed in Lovegrove 2000"
3	"Yes"	"Callimico goeldii"	557.0	278.00	"Kälin et al. 2003"	468	152	65	"Martin 2007"	"Martin 1990"	
4	"Yes"	"Callithrix jacchus"	356.0	154.00	"Petry et al. 1986"	324	144	77	"Martin 2007"	"Godfrey et al. 2001"	"SMR, listed in Genoud 2002, also in Thompson et al. 1994"
5	"Yes"	"Callithrix pygmaea"	138.0	88.60	"Genoud et al. 1997"	122	137	90	"Martin 2007"	"Martin 1990"	
6	"Yes"	"Leontopithecus rosalia"	733.0	381.50	"Thompson 1994"	598	129	90	"Martin 2007"	"Martin 1990"	"SMR, listed in Genoud 2002"
7	"No"	"Saguinus geoffroyi"	225.0	234.00	"Scholander et al. 1950"						"Immature, listed in White and Seymour 2004 and in Lovegrove 2000, not used by Ross 1992"
8	"No"	"Saguinus oedipus"	500.0	449.50	"Stonerook et al. 1990"						"Also cited in Thompson et al. 1994: p.436"
9	"Yes"	"Saimiri sciureus"	850.0	592.00	"LeMaho 1981"	742.5	171	243	"Martin 2007"	"Lee et al. 1991"	"Listed in Genoud 2002"
10	"No"	"Cercocebus torquatus"	3750.0	1605.00	"Bruhn 1934"						"Immature, not used by Ross 1992"
11	"No"	"Cercopithecus ascanius"	3400.0	1798.6	"Hofman 1993"						"Source unconfirmed, referenced to Armstrong 1985, or Hayssen and Lacy 1985, but not found there."
12	"Yes"	"Cercopithecus mitis"	8500.0	3391.50	"Müller et al. 1983"	4628	176	183	"Pazol et al. 2002"	"Förster and Cords 2002"	"Sleeping, listed in White and Seymour 2004, Genoud 2002, and Ross 1992"
13	"No"	"Erythrocebus patas"	3000.0	1068.00	"Mahoney 1980"						"Immature,  as shown in graph, 2W/kg, listed in White and Seymour 2004, not used by Ross 1992"
14	"No"	"Macaca fascicularis"	7100.0	3458.00	"Tokura 1981"						"Restrained,  not used by Ross 1992"
15	"No"	"Macaca fuscata"	9580.0	4191.72	"Nakayama 1971"						"Restrained,  not used by Ross 1992"
16	"Yes"	"Macaca mulatta"	6225.0	2239.00	"Bruhn 1934"	5670.5	167	264	"Martin 2007"	"Lee 1999"	"Listed in Ross 1992"
17	"No"	"Papio anubis"	9500.0	2940.00	"Proppe and Gale 1970"						"Restrained, two adult females, two subadult males"
18	"No"	"Papio cynocephalus"	14317.0	5784.00	"Hohimer and Smith 1979"						"Restrained, immature"
19	"No"	"Papio ursinus"	16900.0	5147.00	"Goldstone et al. 1967"						"Anaesthesized, listed in White and Seymour 2004, not used by Ross 1992: anaesthesized, but not immature!"
20	"Yes"	"Colobus guereza"	10450.0	2978.00	"Müller et al. 1983"	7505.7	158	334.000000007782	"Harris and Monfort 2006"	"Lee et al. 1991"	"Listed in White and Seymour 2004, Ross 1992, similar in Genoud 2002"
21	"Yes"	"Pan troglodytes"	34150.0	9000.00	"Bruhn and Benedict 1936"	40366.68	232	1702	"Martin 2007"	"Lee et al. 1991"	"Listed in Ross 1992"
22	"No"	"Pongo pygmaeus"	16200.0	4941.00	"Bruhn 1934"						"Immature, not used by Ross 1992"
23	"No"	"Hylobates lar"	1900.0	1071.00	"Bruhn 1934"						"Immature, not used by Ross 1992"
24	"No"	"Homo sapiens"	60500.0	12457.00	"Benedict 1938"						"Brain size outlier, listed in Ross 1992"
25	"No"	"Tarsius spectrum"	173.0	149.00	"Clarke 1943"						"Assigned to wrong species,  listed in White and Seymour 2004, should be T. syrichta"
26	"Yes"	"Tarsius syrichta"	113.0	76.70	"McNab and Wright 1987"	125.5	178	68	"Martin 2007"	"Martin 1990"	"Listed in White and Seymour 2004 and in Ross 1992"
