Table 1
Species	Family	Order	Class	State	References
Allophryne_ruthveni	Allophrynidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eupsophus_calcaratus	Alsodidae	Anura	Amphibia	1	"Marquez et al., 2005; AmphibiaWeb. 2018."
Eupsophus_emiliopugini	Alsodidae	Anura	Amphibia	1	"Penna et al., 2005; AmphibiaWeb. 2018"
Limnomedusa_macroglossa	Alsodidae	Anura	Amphibia	1	AmphibiaWeb. 2018
Alytes_cisternasii	Alytidae	Anura	Amphibia	1	"Bosch and Marquez, 2000; AmphibiaWeb. 2018"
Alytes_dickhilleni	Alytidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Alytes_obstetricans	Alytidae	Anura	Amphibia	1	"Bosch and Marquez, 2000; AmphibiaWeb. 2018"
Discoglossus_pictus	Alytidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Arthroleptis_stenodactylus	Arthroleptidae	Anura	Amphibia	1	"Mercurio, 2009; AmphibiaWeb. 2018."
Arthroleptis_wahlbergii	Arthroleptidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Arthroleptis_xenodactyloides	Arthroleptidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Cardioglossa_leucomystax	Arthroleptidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Leptopelis_argenteus	Arthroleptidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Leptopelis_natalensis	Arthroleptidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ascaphus_montanus	Ascaphidae	Anura	Amphibia	0	AmphibiaWeb. 2018.
Ascaphus_truei	Ascaphidae	Anura	Amphibia	0	"Stephenson and Verrell, 2003; AmphibiaWeb. 2018."
Batrachyla_leptopus	Batrachylidae	Anura	Amphibia	1	"Penna and Veloso, 1990; Penna and Toloza, 2015; AmphibiaWeb. 2018."
Batrachyla_taeniata	Batrachylidae	Anura	Amphibia	1	"Penna and Veloso, 1990; Penna and Velasquez, 2011; AmphibiaWeb. 2018."
Bombina_bombina	Bombinatoridae	Anura	Amphibia	1	"Walkowiak, 1992; AmphibiaWeb. 2018."
Bombina_orientalis	Bombinatoridae	Anura	Amphibia	1	"Walkowiak, 1992; AmphibiaWeb. 2018."
Bombina_variegata	Bombinatoridae	Anura	Amphibia	1	"Walkowiak, 1992; AmphibiaWeb. 2018."
Brachycephalus_ephippium	Brachycephalidae	Anura	Amphibia	1	"McNaught and Tucker, 2011"
Ischnocnema_guentheri	Brachycephalidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ischnocnema_parva	Brachycephalidae	Anura	Amphibia	1	"de Andrade et al., 2017; AmphibiaWeb. 2018."
Breviceps_mossambicus	Breviciptidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ansonia_hanitschi	Bufonidae	Anura	Amphibia	1	"Inger et al., 2017"
Ansonia_leptopus	Bufonidae	Anura	Amphibia	1	"Sukumaran et al., 2010"
Ansonia_longidigita	Bufonidae	Anura	Amphibia	1	"Inger et al., 2017"
Ansonia_spinulifer	Bufonidae	Anura	Amphibia	1	"Amram et al., 2018"
Atelopus_spumarius	Bufonidae	Anura	Amphibia	1	"Cocroft et al., 1990"
Bufo_alvarius	Bufonidae	Anura	Amphibia	1	"Sullivan and Malmos, 1994; AmphibiaWeb. 2018."
Bufo_americanus	Bufonidae	Anura	Amphibia	1	"Howard and Palmer, 1995; AmphibiaWeb. 2018."
Bufo_arenarum	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_boreas	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_bufo	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_calamita	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_cognatus	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_dombensis	Bufonidae	Anura	Amphibia	1	"Channing and Vences, 1999"
Bufo_gargarizans	Bufonidae	Anura	Amphibia	1	"Yu and Lu, 2010; Yu and Sharma, 2012"
Bufo_garmani	Bufonidae	Anura	Amphibia	1	"Passmore, 1981"
Bufo_granulosus	Bufonidae	Anura	Amphibia	1	"Sao-Pedro, 2011"
Bufo_gutturalis	Bufonidae	Anura	Amphibia	1	"Passmore, 1981"
Bufo_japonicus	Bufonidae	Anura	Amphibia	1	"Makoto et al., 1986"
Bufo_maculatus	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_marinus	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_melanostictus	Bufonidae	Anura	Amphibia	1	"Wei et al., 2012"
Bufo_microscaphus	Bufonidae	Anura	Amphibia	1	"Malmos et al., 2001"
Bufo_regularis	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_stomaticus	Bufonidae	Anura	Amphibia	1	"Grosjean and Dubois, 2001"
Bufo_taitanus	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Bufo_viridis	Bufonidae	Anura	Amphibia	1	"Giacoma et al., 1997"
Dendrophryniscus_minutus	Bufonidae	Anura	Amphibia	1	"Cocroft et al., 1990"
Mertensophryne_micranotis	Bufonidae	Anura	Amphibia	1	"Grandison and Ashe, 1983"
Nectophrynoides_tornieri	Bufonidae	Anura	Amphibia	1	"Starnberger et al., 2011"
Osornophryne_guacamayo	Bufonidae	Anura	Amphibia	1	"Gluesenkamp and Acosta, 2001"
Schismaderma_carens	Bufonidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Centrolene_geckoideum	Centrolenidae	Anura	Amphibia	1	"Grant et al., 1998"
Cochranella_euknemos	Centrolenidae	Anura	Amphibia	1	"Alonso et al., 2017"
Cochranella_granulosa	Centrolenidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Espadarana_prosoblepon	Centrolenidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Hyalinobatrachium_chirripoi	Centrolenidae	Anura	Amphibia	1	"Alonso et al., 2017; AmphibiaWeb. 2018"
Hyalinobatrachium_colymbiphyllum	Centrolenidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Hyalinobatrachium_fleischmanni	Centrolenidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Hyalinobatrachium_valerioi	Centrolenidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Teratohyla_midas	Centrolenidae	Anura	Amphibia	1	"Araujo et al., 2018"
Teratohyla_spinosa	Centrolenidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ceratophrys_cornuta	Ceratophryidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ceratophrys_ornata	Ceratophryidae	Anura	Amphibia	1	"Natale et al., 2011"
Conraua_goliath	Conrauidae	Anura	Amphibia	1	"Hutchison, 2008; Khandelwal, 2008"
Craugastor_augusti	Craugastoridae	Anura	Amphibia	1	"Niederlander, 2000"
Haddadus_binotatus	Craugastoridae	Anura	Amphibia	1	"Moura et al., 2012"
Oreobates_quixensis	Craugastoridae	Anura	Amphibia	1	"Heyer and Gascon, 1995"
Phrynopus_bracki	Craugastoridae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Pristimantis_acuminatus	Craugastoridae	Anura	Amphibia	1	"Yanez-Munoz et al., 2013"
Pristimantis_altamazonicus	Craugastoridae	Anura	Amphibia	1	"Rodriguesz and Duellman, 1994"
Pristimantis_conspicillatus	Craugastoridae	Anura	Amphibia	1	"Padial et al., 2008"
Pristimantis_diadematus	Craugastoridae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Pristimantis_ockendeni	Craugastoridae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Pristimantis_peruvianus	Craugastoridae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Pristimantis_unistrigatus	Craugastoridae	Anura	Amphibia	1	"Padial et al., 2008"
Cycloramphus_boraceiensis	Cycloramphidae	Anura	Amphibia	1	"Heyer, 1983"
Thoropa_miliaris	Cycloramphidae	Anura	Amphibia	1	"Nunes-de-Almeida et al., 2016"
Allobates_femoralis	Dendrobatidae	Anura	Amphibia	1	"Amezquita et al., 2006"
Allobates_talamancae	Dendrobatidae	Anura	Amphibia	1	"Lechelt et al., 2014"
Ameerega_bilinguis	Dendrobatidae	Anura	Amphibia	1	"Jungfer, 1989"
Ameerega_hahneli	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ameerega_picta	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ameerega_trivittata	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Anomaloglossus_stepheni	Dendrobatidae	Anura	Amphibia	1	"Junca, 1998"
Dendrobates_auratus	Dendrobatidae	Anura	Amphibia	1	"Wells, 1978"
Dendrobates_castaneoticus	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Dendrobates_histrionicus	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Dendrobates_lehmanni	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Dendrobates_leucomelas	Dendrobatidae	Anura	Amphibia	1	"Forsman and Hagman, 2006"
Dendrobates_pumilio	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Dendrobates_reticulatus	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Dendrobates_steyermarki	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Dendrobates_ventrimaculatus	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Epipedobates_machalilla	Dendrobatidae	Anura	Amphibia	1	"Del Pino et al., 2004"
Phyllobates_terribilis	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Phyllobates_vittatus	Dendrobatidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Silverstoneia_flotator	Dendrobatidae	Anura	Amphibia	1	"Ibanez and Smith, 1995"
Euphlyctis_cyanophlyctis	Dicroglossidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Fejervarya_cancrivora	Dicroglossidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Hoplobatrachus_occipitalis	Dicroglossidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Hoplobatrachus_tigerinus	Dicroglossidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Ingerana_baluensis	Dicroglossidae	Anura	Amphibia	1	"Sukumaran et al., 2006"
Limnonectes_blythii	Dicroglossidae	Anura	Amphibia	1	"Emerson and Boyd, 1999"
Limnonectes_finchi	Dicroglossidae	Anura	Amphibia	1	"Sukumaran et al., 2006"
Limnonectes_kuhlii	Dicroglossidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Limnonectes_leporinus	Dicroglossidae	Anura	Amphibia	1	"Matsui et al., 2015"
Nannophrys_ceylonensis	Dicroglossidae	Anura	Amphibia	1	"Wickramasinghe et al., 2004"
Occidozyga_laevis	Dicroglossidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Sphaerotheca_breviceps	Dicroglossidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Adelophryne_gutturosa	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_abbotti	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_albipes	Eleutherodactylidae	Anura	Amphibia	1	"Alonso et al., 2005"
Eleutherodactylus_alcoae	Eleutherodactylidae	Anura	Amphibia	1	"Albert, 1977"
Eleutherodactylus_auriculatus	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_cooki	Eleutherodactylidae	Anura	Amphibia	1	"Burrowes, 2000"
Eleutherodactylus_coqui	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_cundalli	Eleutherodactylidae	Anura	Amphibia	1	"Diesel et al., 1995"
Eleutherodactylus_dimidiatus	Eleutherodactylidae	Anura	Amphibia	1	"Bignotte-Giro et al., 2018"
Eleutherodactylus_fowleri	Eleutherodactylidae	Anura	Amphibia	1	"Schwartz, 1973"
Eleutherodactylus_gossei	Eleutherodactylidae	Anura	Amphibia	1	"Hedges, 1987"
Eleutherodactylus_johnstonei	Eleutherodactylidae	Anura	Amphibia	1	"Watkins et al., 1970"
Eleutherodactylus_lentus	Eleutherodactylidae	Anura	Amphibia	1	"Perry, 2009"
Eleutherodactylus_martinicensis	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_nubicola	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_planirostris	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_unicolor	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_varleyi	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_zeus	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Eleutherodactylus_zugi	Eleutherodactylidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Phyzelaphryne_miriamae	Eleutherodactylidae	Anura	Amphibia	1	"Heyer and Gascon, 1995"
Heleophryne_purcelli	Heleophrynidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
Flectonotus_pygmaeus	Hemiphractidae	Anura	Amphibia	1	AmphibiaWeb. 2018.
