"Species","Body mass, g","Body mass, g SD","Brain mass, g","Brain mass, g SD","Olfactory bulbs","Olfactory bulbs SD","Olfactory bulbs percent of brain","Olfactory cortices mmˆ3","Olfactory cortices mmˆ3 SD","Olfactory cortices percent of brain","Neocortex, mmˆ3","Neocortex, mmˆ3 SD","Neocortex percent of brain","Entorhinal cortex, mmˆ3","Entorhinal cortex, mmˆ3 SD","Entorhinal cortex percent of brain","Hippocampus, mmˆ3","Hippocampus, mmˆ3 SD","Hippocampus percent of brain","Amygdala, mmˆ3","Amygdala, mmˆ3 SD","Amygdala percent of brain","Striatum, mmˆ3","Striatum, mmˆ3 SD","Striatum percent of brain","Septum, mmˆ3","Septum, mmˆ3 SD","Septum percent of brain","Thalamus, mmˆ3","Thalamus, mmˆ3 SD","Thalamus percent of brain","Hypothalamus, mmˆ3","Hypothalamus, mmˆ3 SD","Hypothalamus percent of brain","Cerebellum, mmˆ3","Cerebellum, mmˆ3 SD","Cerebellum percent of brain","Tectum, mmˆ3","Tectum, mmˆ3 SD","Tectum percent of brain","Tegmentum, mmˆ3","Tegmentum, mmˆ3 SD","Tegmentum percent of brain","Medulla oblongata, mmˆ3","Medulla oblongata, mmˆ3 SD","Medulla oblongata percent of brain"
"Bathyergus suillus",907.82,320.93,3.78,0.14,132,14,0.037,173,15,0.0483,1011,21,0.283,96,3,0.027,194,1,0.0544,50,3,0.0139,249,20,0.0698,35,7,0.0097,173,15,0.0483,85,7,0.0238,683,82,0.1911,69,6,0.0192,156,18,0.0437,368,30,0.103
"Cryptomys hottentotus",68.58,12.36,0.85,0.06,37,4,0.0462,50,8,0.0622,183,30,0.2291,25,3,0.0311,59,8,0.0733,14,3,0.0171,59,7,0.0742,11,1,0.0132,39,3,0.0483,25,6,0.0312,121,19,0.1506,17,2,0.0217,34,4,0.0425,79,2,0.0987
"Cryptomys natalensis",99.02,33.43,1.24,0.11,55,12,0.047,76,12,0.0655,321,26,0.274,43,6,0.0363,80,13,0.0679,20,4,0.0167,84,11,0.0713,14,3,0.0117,54,6,0.0461,31,3,0.0266,175,19,0.1487,24,6,0.0201,42,6,0.0355,97,18,0.0828
"Cryptomys pretoriae",104.27,21.31,1.35,0.11,57,9,0.0446,76,2,0.0602,315,39,0.2488,46,4,0.036,95,14,0.0746,20,5,0.0161,85,9,0.0669,15,2,0.0116,57,8,0.0453,33,3,0.026,188,14,0.148,25,4,0.0201,47,4,0.0373,119,15,0.0941
"Fukomys anselli",93.45,20.47,1.25,0.13,55,15,0.0463,71,9,0.0597,291,40,0.2436,38,4,0.0317,82,23,0.0682,26,5,0.0216,84,11,0.07,15,3,0.0124,61,3,0.0511,35,5,0.0296,200,52,0.1672,32,6,0.0266,60,19,0.05,132,32,0.1104
"Fukomys damarensis",110.53,30.29,1.39,0.14,59,8,0.0448,88,8,0.0673,311,60,0.2371,44,6,0.0338,95,12,0.0724,22,2,0.0169,102,17,0.0779,15,1,0.0112,64,7,0.0488,39,7,0.0295,201,46,0.153,27,4,0.0203,56,14,0.0427,110,9,0.0841
"Fukomys darlingi",115.19,44.83,1.23,0.12,43,10,0.0376,77,9,0.0667,271,19,0.2346,41,10,0.0355,76,4,0.0657,16,2,0.0141,99,16,0.0856,16,3,0.0141,51,7,0.0437,29,1,0.0253,156,27,0.1346,25,1,0.0213,45,5,0.0394,101,6,0.0871
"Fukomys mechowii",270.16,52.85,2.15,0.24,76,6,0.0369,133,9,0.0642,627,8,0.3033,71,13,0.0342,137,11,0.0663,35,10,0.0169,198,2,0.0958,24,1,0.0117,116,13,0.0562,60,7,0.0292,391,58,0.1895,41,1,0.0197,82,13,0.0398,242,87,0.1172
"Georychus capensis",155.09,39.08,1.65,0.18,74,8,0.0479,97,13,0.0623,401,46,0.2581,53,8,0.0344,114,19,0.0732,28,3,0.0183,123,22,0.0794,21,2,0.0136,87,16,0.0558,50,6,0.032,250,14,0.1603,34,2,0.022,62,8,0.0397,151,21,0.0973
"Heliophobius argenteocinereus",180.51,35.45,1.65,0.12,60,8,0.0389,107,4,0.0689,457,25,0.295,56,4,0.0362,115,8,0.074,34,4,0.0219,127,11,0.0823,18,2,0.0116,90,5,0.0578,42,5,0.0272,215,37,0.1385,28,3,0.0183,56,3,0.0363,120,22,0.0776
"Heterocephalus glaber",37.74,12.02,0.44,0.04,20,3,0.0492,39,5,0.094,100,5,0.2416,14,4,0.0345,32,6,0.076,12,1,0.0289,29,4,0.0693,4.1,0.4,0.0098,23,3,0.0566,17,1,0.0404,48,5,0.1163,10,3,0.0232,19,4,0.0462,47,6,0.1131
