"Species","Whole brain","Whole brain SD","Olfactory bulbs","Olfactory bulbs SD","Cortex","Cortex SD","Subcortical forebrain","Subcortical forebrain SD","Cerebellum","Cerebellum SD","Brain stem","Brain stem SD"
"Heterocephalus glaber",33620000,3660000,3010000,330000,5310000,310000,2860000,5e+05,20520000,3010000,1910000,280000
"Cryptomys hottentotus",96240000,9650000,7990000,460000,11730000,220000,4550000,690000,68810000,9020000,3170000,360000
"Fukomys darlingi",113350000,3790000,7600000,1250000,12490000,530000,5190000,810000,84910000,3950000,3140000,150000
"Cryptomys natalensis",149980000,8500000,11850000,290000,17460000,1390000,6820000,810000,109750000,8750000,4110000,140000
"Fukomys anselli",102820000,12280000,8880000,640000,9730000,2230000,4860000,9e+05,75440000,8900000,3900000,1160000
"Cryptomys pretoriae",169160000,16230000,12070000,1410000,20560000,9e+05,9920000,620000,120580000,16690000,6030000,350000
"Fukomys damarensis",178300000,19080000,12550000,1820000,21270000,590000,9580000,1690000,129960000,18150000,4940000,1100000
"Heliophobius argenteocinereus",147940000,6800000,10300000,2150000,25440000,2230000,11920000,1130000,94820000,1970000,5460000,840000
"Georychus capensis",169670000,11420000,12460000,1420000,25600000,2090000,9060000,1130000,116740000,10310000,5810000,340000
"Fukomys mechowii",174240000,14600000,14110000,2130000,23320000,940000,9420000,880000,122640000,14340000,4750000,980000
"Bathyergus suillus",361290000,24400000,23810000,2960000,43480000,5110000,16420000,750000,268890000,17470000,8670000,6e+05
