"Common Name"	"Species Name"	"Bodyweight(g)"	"Brainweight(g)"	"Visual Areas"	"Somatomotor Areas"	"Total Areas"	"Cortical Area (mm2)"	"Species"
"Owl Monkey"	"Aotus trivirgatus"	935	18.2	23	13	36	5485.85	"Aotus trivirgatus"
"Short-tailed Shrew"	"Blarina brevicauda"	19.7	0.39	1	3	4	28.13	"Blarina brevicauda"
"Marmoset"	"Callithrix jacchus"	246	7.9	19	11	30	910.26	"Callithrix jacchus"
"Least Shrew"	"Cryptotis parva"	9.9	0.25	1	3	4	21.8	"Cryptotis parva"
"Striped Possum"	"Dactylopsila trivirgata"	435	NA	2	6	8	248.65	"Dactylopsila trivirgata"
"Norhtern Quoll"	"Dasyurus hallucatus"	750	NA	2	5	7	133.17	"Dasyurus hallucatus"
"North American Opossum"	"Didelphis marsupialis"	1700	6.3	4	5	9	269.6	"Didelphis marsupialis"
"Tenrec"	"Echinops telfairi"	87.55	0.62	2	3	5	24.24	"Echinops telfari"
"Hedgehog"	"Erinaceus europaeus"	874.16	3.29	2	6	8	106.69	"Erinaceus europaeus"
"Cat"	"Felis cattus"	3300	30	15	15	30	3014.8	"Felis catus"
"Galago"	"Galago sp."	201	4.8	13	11	24	382.83	"Galago sp."
"Rhesus Macaque"	"Macaca sp."	7950	95	32	22	54	10598.2	"Macaca sp."
"Short-tailed Possum"	"Monodelphis domestica"	150	NA	3.5	3	6.5	44.94	"Monodelphis domestica"
"Mouse"	"Mouse sp."	24	0.5	3	6	9	51.24	"Mouse sp."
"Flying Fox"	"Pteropus poliocephalus"	695	7.23	6.5	8	14.5	219.63	"Pteropus poliocephalus"
"Rat"	"Rattus sp."	217	1.79	4	7	11	90.69	"Rattus sp."
"Squirrel monkey"	"Saimiri sciureus"	901.25	24	20	10	30	4373.52	"Saimiri sciureus"
"Fat-tailed Dunnart"	"Sminthopsis crassicaudata"	20	NA	2	3	5	11.37	"Sminthopsis crassicaudata"
"Masked Shrew"	"Sorex cinereus"	5.9	0.17	1	3	4	14.93	"Sorex cinereus"
"Southeastern Shrew"	"Sorex longirostris"	NA	NA	1	3	4	9.48	"Sorex longirostris"
"Northern Water Shrew"	"Sorex palustris"	14.6	0.28	1	3	4	25.55	"Sorex palustris"
"Squirrel"	"Squirrel sp."	650	6	7	7	14	213.85	"Squirrel sp."
"Brush-tailed Possum"	"Trichosurus vulpecula"	NA	NA	2	5	7	208.35	"Trichosurus vulpecula"
"Tree Shrew"	"Tupia belangeri"	104	2.5	8	NA	NA	385.25	"Tupia belangeri"
