Individual	Section interval 5 left white grey		Section interval 5 right white grey	
Homo sapiens 14686	12.	23.	17.	31.
Homo sapiens 1696	15.	25.	14.	25.
Homo sapiens 18992	12.	22.	13.	29.
Homo sapiens 20784	17.	24.	19.	27.
Homo sapiens 2431	11.	19.	9.	16.
Homo sapiens 54491	17.	24.	21.	26.10
Homo sapiens 5694	13	1925	14.	1928
Homo sapiens 6895	12.	22.	10.	20.
Pan troglodytes 280	2.	8.	2.50	7.
Pan paniscus 86137	1.	422	1.	4.
Gorilla gorilla 375	1.	6.	1.	6.
Pongo pygmaeus yn85 38	2.	6.	0.84	3.
Hylobates lar 1203	0.24	128	27	130
Papio anubis 97	36	2.	0.49	2.
Cercocebus albigena 242	0.19	1.	0.24	1.
Cercopithecus mitis 261	0.08	0.63	0.12	0.75
Cercopithecus ascianus 219	0.07	0.57	0.09	0.58
Erythrocebus patas 1341	0.11	0.81	0.16	0.75
Miopithecus talapoin 1171	0.07	0.48	0.09	0.53
Nasalis larvatus 1365	0.02	38	0.05	0.44
Procolobus badius 213	0.08	0.81	0.12	0.78
Alouatta seniculus1184	0.04	32	0.13	0.69
Ateles geoffroyi 1000	0.08	122	21	2.
Lagothrix lagotricha 1571	0.09	0.97	0.14	0.92
Pithecia monachus1180	0.02	0.16	0.07	44
Cebus albifrons 1200	0.1	0.66	0.15	0.77
