"Species"	"Case"	"cord mass (g)"	"body mass (g)"	"# cells"	"% neurons"	"# neurons"	"# non-neurons"	"length (mm)"	"sex"	"age (years)"
"Rhesus macaque"	"07-25"	9.814	9750	457500000	3.1	14182500	443317500	NA	"male"	5.13
"Rhesus macaque"	"07-29"	6.029	4700	326080000	2.39	7793312	318286688	NA	"female"	5.48
"Rhesus macaque"	"07-30"	9.902	9400	336875000	2.73	9196688	327678313	NA	"male"	6.16
"Rhesus macaque"	"07-56"	8.871	11000	406250000	2.9	11781250	394468750	247.88	"male"	7.36
"Rhesus macaque"	"07-119"	7.9392	7500	421875000	1.67	7057388	414817612	262.48	"female"	7.88
"Long-tailed macaque"	"07-44"	7.4987	5700	372000000	3.06	11383200	360616800	NA	"male"	8.25
"Bonnet macaque"	"07-42"	10.1222	10200	445000000	2.42	10769000	434231000	NA	"male"	11.33
"Bonnet macaque"	"07-82"	5.7329	5400	285000000	2.58	7354839	277645161	NA	"female"	NA
"Bonnet macaque"	"07-90"	5.961	8850	304187500	NA	NA	NA	245.94	"male"	11.69
"Bonnet macaque"	"07-91"	9.55	7600	448437500	NA	NA	NA	283.25	"male"	7.68
"Owl monkey"	"07-03"	2.1624	1060	98046875	5.31	5206289	92840586	NA	"male"	NA
"Owl monkey"	"07-26"	2.62	1750	117562500	6.34	7456989	110105511	NA	"male"	NA
"Owl monkey"	"07-46"	1.7969	800	98906250	6.21	6146034	92760216	NA	"male"	NA
"Owl monkey"	"07-50"	1.984	1108	96100000	4.72	4535920	91564080	168.88	"female"	2.35
"Owl monkey"	"07-77"	2.4789	1400	107050781	6.07	6500237	100550544	175.83	"male"	9.33
"Owl monkey"	"07-85"	1.9122	1100	88359375	6.34	5603277	82756098	162.48	"male"	10.62
"Owl monkey"	"07-87"	3.1042	1540	98957031	5.3	5243877	93713154	205.62	"male"	10.37
"Owl monkey"	"07-88"	1.7485	974	80664063	7.09	5716351	74947712	163.88	"male"	NA
"Owl monkey"	"07-92"	2.4204	1200	96562500	7.55	7291091	89271409	153.01	"female"	4.84
"Owl monkey"	"07-103"	1.9872	1100	87132813	5.64	4916054	82216759	NA	"male"	6.8
"Owl monkey"	"07-110"	2.3504	1250	123925781	4.5	5582242	118343539	159.43	"male"	7.27
"Owl monkey"	"07-115"	1.4439	1100	68565625	8.28	5674397	62891228	NA	"female"	7.91
"Squirrel monkey"	"07-118"	1.5768	860	96750000	6.14	5942418	90807582	163.15	"male"	2.95
"Squirrel monkey"	"08-03"	1.7177	915	107144531	5.69	6100756	101043775	172.3	"female"	1.08
"Squirrel monkey"	"08-05"	1.5666	950	89527344	2.27	2034712	87492631	172.98	"male"	7.91
"Squirrel monkey"	"08-09"	1.5477	710	90322917	5.21	4702629	85620287	NA	"female"	5.16
"Marmoset"	"07-27"	0.6213	340	48195313	7.57	3649831	44545482	NA	"male"	3.07
"Galago"	"06-80"	1.9345	1408	109375000	5.72	6256250	103118750	NA	"male"	8.04
"Galago"	"06-81"	1.758	1018	96680000	4.6	4447280	92232720	NA	"male"	3.2
"Galago"	"07-08"	2.1463	1254	91992188	7.36	6770625	85221563	NA	"male"	1.95
"Galago"	"07-40"	1.5817	1400	119437500	5.59	6673772	112763728	NA	"male"	8.18
"Galago"	"07-51"	1.73	1000	109687500	NA	NA	NA	159.23	"female"	3.62
"Galago"	"07-52"	1.0441	486	75058600	5.65	4239310	70819290	NA	"female"	0.84
"Galago"	"07-65"	1.4285	1100	88593750	5.45	4829642	83764108	153.4	"female"	4.45
"Galago"	"07-73"	1.7202	1400	101582031	6.32	6419984	95162047	152.23	"male"	1.58
"Galago"	"07-75"	1.3788	1040	107756250	5.78	6224963	101531287	141.73	"female"	1.93
"Galago"	"07-79"	1.4622	1200	75287500	6.46	4865519	70421981	175.21	"male"	1.83
"Galago"	"07-83"	1.395	1400	78890625	9.91	7821635	71068990	147.03	"male"	3.92
"Galago"	"07-93"	1.443	1100	110507813	5.24	5795166	104712647	166.88	"female"	1.48
"Galago"	"07-105"	1.1688	1100	83020833	5.17	4291335	78729498	155.88	"male"	1.12
"Galago"	"07-111"	1.4975	1000	105218750	6.67	7014583	98204167	132.36	"female"	1.19
"Galago"	"07-120"	1.2318	771	75433594	6.11	4612310	70821283	136.02	"female"	1.43
"Mouse lemur"	"07-39"	0.2353	60	22953125	7.33	1682654	21270471	NA	"male"	15.61
"Tree shrew"	"07-12"	0.6173	231	41750000	6.64	2773453	38976548	NA	"male"	0.33
"Tree shrew"	"07-13"	0.5297	192	38390625	4.95	1901104	36489521	NA	"male"	0.32
"Tree shrew"	"07-14"	0.768	193	50121094	5.03	2520089	47601005	NA	"male"	0.32
"Tree shrew"	"07-15"	0.6632	197	45773438	5.35	2448879	43324559	NA	"male"	0.32
"Tree shrew"	"07-16"	0.6163	160	50312500	4.94	2485438	47827063	NA	"female"	0.27
"Tree shrew"	"07-17"	0.4884	188	36351563	5.99	2176732	34174831	NA	"female"	0.27
"Tree shrew"	"07-18"	0.5527	149	44000000	5.38	2367200	41632800	NA	"male"	0.27
"Tree shrew"	"07-19"	0.5985	183	50312500	4.89	2460281	47852219	NA	"female"	0.27
"Tree shrew"	"07-58"	0.6032	144	43699219	5.88	2570542	41128676	103.23	"female"	3.05
"Tree shrew"	"07-59"	0.6472	155	41062500	4.7	1929938	39132563	100.83	"female"	2.62
"Tree shrew"	"07-60"	0.5935	155	43640625	7.62	3324188	40316437	108	"female"	2.62
"Tree shrew"	"07-69"	0.735	170	45500000	7.55	3435543	42064457	99.63	"male"	2.72
"Tree shrew"	"07-108"	0.597	NA	48083333	5.37	2584133	45499200	NA	"female"	8.07
"Tree shrew"	"07-109"	0.481	144	46119792	10.04	4628510	41491282	NA	"female"	5.85
