Individual	Frontal left white grey		Frontal right white grey		Total brain size
Homo sapiens 14686	97.88	119.36	96.98	105.18	1437
Homo sapiens 1696	129.33	117.96	126.4	123.13	1757
Homo sapiens 18992	91.62	98.71	77.9	109.24	1270
Homo sapiens 20784	97.97	101.41	97.19	105.76	1349
Homo sapiens 2431	96.18	104.47	91.17	99.42	1234
Homo sapiens 54491	109.32	100.96	105.9	102.63	1350
Homo sapiens 5694	91.65	88.54	89.65	87.93	1216
Homo sapiens 6895	67.81	83.85	67.3	84.77	1110
Pan troglodytes 280	22.98	35.87	26.53	32.35	444.98
Pan paniscus 86137	12.79	25.39	14.55	25.27	378.4
Gorilla gorilla 375	17.38	34.69	17.95	36.42	434.36
Pongo pygmaeus yn85 38	12.06	22.5	12.64	20.46	356.2
Hylobates lar 1203	2.77	7.02	3.03	6.59	98.36
Papio anubis 97	6.25	12.76	7.54	11.52	184.36
Cercocebus albigena 242	2.89	6.4	3.78	6.91	106.66
Cercopithecus mitis 261	2.21	5.08	2.53	5.11	72.39
Cercopithecus ascianus 219	1.42	4.38	1.57	3.56	59.36
Erythrocebus patas 1341	2.49	5.84	2.94	5.38	93.73
Miopithecus talapoin 1171	0.88	2.59	0.95	2.59	39.67
Nasalis larvatus 1365	1.23	4.05	1.47	4.03	62.02
Procolobus badius 213	1.86	5.63	2.2	5.31	75.97
Alouatta seniculus1184	1.4	2.8	1.38	2.71	45.17
Ateles geoffroyi 1000	2.33	7.92	2.98	8.09	102.7
Lagothrix lagotricha 1571	2.54	6.21	2.94	5.57	88.16
Pithecia monachus1180	0.78	1.77	0.83	1.91	32.82
Cebus albifrons 1200	2.52	4.98	2.7	4.47	77.03
