"Species"	"Order"	"Cerebral cortex Mass, g"	"Cerebral cortex Mass, g SD"	"Cerebral cortex N, n"	"Cerebral cortex N, n SD"	"Cerebral cortex O, n"	"Cerebral cortex O, n SD"	"Cerebral cortex N/mg"	"Cerebral cortex N/mg SD"	"Cerebral cortex O/mg"	"Cerebral cortex O/mg SD"	"Cerebral cortex O/N"	"Cerebral cortex O/N SD"	"Cerebral cortex Source"
"Sorex fumeus"	"Eulipotyphla"	0.084	0.009	9730000	352000	9290000	1112000	116727	9387	111754	18566	0.958	0.135	"Sarko et al., 2009"
"Mus musculus"	"Glires"	0.173	0.015	13688162	2242257	12061838	3668594	78672	7683	68643	15807	0.87	0.177	"Herculano-Houzel et al., 2006"
"Blarina brevicauda"	"Eulipotyphla"	0.197	0.012	11876000	1569000	15820000	1158000	60214	4935	80729	8731	1.357	0.25	"Sarko et al., 2009"
"Heterocephalus glaber"	"Glires"	0.184	0.026	6151875	1065587	8398125	1197056	33374	2063	45894	11497	1.365	0.125	"Herculano-Houzel et al., 2011"
"Condylura cristata"	"Eulipotyphla"	0.42	0.024	17250000	3105000	32010000	8822000	40777	5145	76995	25019	1.966	0.924	"Sarko et al., 2009"
"Parascalops breweri"	"Eulipotyphla"	0.429	0.019	15690000	2611000	39870000	4884000	36727	7359	93185	14583	2.581	0.109	"Sarko et al., 2009"
"Amblysomus hottentotus"	"Afrotheria"	0.439	0.035	21516000	2154000	21370000	4614000	48932	1004	48146	6674	0.982	0.116	"Neves et al., 2014"
"Scalopus aquaticus"	"Eulipotyphla"	0.476	0.032	26680000	5113000	38540000	5567000	60461	12249	80745	6407	1.383	0.368	"Sarko et al., 2009"
"Elephantulus myurus"	"Afrotheria"	0.471	0.021	25865000	4020000	26229000	1104000	54644	6098	55693	138	1.032	0.119	"Neves et al., 2014"
"Mesocricetus auratus"	"Glires"	0.446	0.048	17140000	3619934	41870000	1350121	39099	12332	94271	7136	2.507	0.608	"Herculano-Houzel et al., 2006"
"Rattus norvegicus"	"Glires"	0.769	0.113	31017192	3034654	45687808	5678958	41092	7999	60426	12477	1.497	0.328	"Herculano-Houzel et al., 2006"
"Microcebus murinus"	"Primata"	0.908	NA	22310400	NA	70649600	NA	24571	NA	77808	NA	3.167	NA	"Gabi et al., 2010"
"Proechimys cayennensis"	"Glires"	0.924	0.05	26086024	2155723	71833039	6712722	28321	3870	78011	11497	2.752	0.03	"Herculano-Houzel et al., 2011"
"Petrodromus tetradactylus"	"Afrotheria"	1.239	0.059	33947000	5840000	40486000	1104000	27236	3416	32550	2661	1.202	0.053	"Neves et al., 2014"
"Tupaia glis"	"Scandentia"	1.455	0.174	60390000	26510000	85580000	8400000	42900	23350	58900	1270	1.417	NA	"Herculano-Houzel et al., 2007"
"Cavia porcellus"	"Glires"	1.938	0.231	43510525	3169924	108614475	12775334	22508	1050	56036	93	2.492	0.112	"Herculano-Houzel et al., 2006"
"Cynomys sp."	"Glires"	2.586	0.109	53768353	6044322	183451647	17959104	20866	3113	71202	9677	3.432	0.433	"Herculano-Houzel et al., 2011"
"Sciurus carolinensis"	"Glires"	2.73	0.178	77334617	2634444	209654717	13003170	28384	1487	76877	3859	2.709	0.076	"Herculano-Houzel et al., 2011"
"Oryctolagus cuniculus"	"Glires"	4.448	NA	71448750	NA	254801250	NA	16063	NA	57284	NA	3.566	NA	"Herculano-Houzel et al., 2011"
"Callithrix jacchus"	"Primata"	5.561	0.443	244720000	81180000	395340000	58790000	44280	15900	71800	14880	1.615	NA	"Herculano-Houzel et al., 2007"
"Otolemur garnettii"	"Primata"	6.29	0.863	226090000	87570000	402070000	74790000	37820	20500	63610	3400	1.778	NA	"Herculano-Houzel et al., 2007"
"Dendrohyrax dorsalis"	"Afrotheria"	7.56	NA	98960000	NA	183540000	NA	13098	NA	24291	NA	1.855	NA	"Neves et al., 2014"
"Dasyprocta prymnolopha"	"Glires"	8.913	1.214	110641950	2576768	416208050	950422	13250	1633	49939	7422	3.763	0.096	"Herculano-Houzel et al., 2006"
"Procavia capensis"	"Afrotheria"	10.478	0.646	197933000	29082000	366620000	13520000	19134	3955	35203	3461	1.883	0.208	"Neves et al., 2014"
"Aotus trivirgatus"	"Primata"	10.617	0.61	441900000	111310000	695420000	130000000	41990	12900	65330	5950	1.574	NA	"Herculano-Houzel et al., 2007"
"Callimico goeldii"	"Primata"	12.984	NA	357129180	NA	715330820	NA	27505	NA	55093	NA	2.003	NA	"Gabi et al., 2010"
"Saimiri sciureus"	"Primata"	20.652	0.368	1340000000	20000000	1610000000	40000000	64930	7420	77840	790	1.201	NA	"Herculano-Houzel et al., 2007"
"Macaca fascicularis"	"Primata"	36.226	NA	800955000	NA	2758845000	NA	22110	NA	76156	NA	3.444	NA	"Gabi et al., 2010"
"Cebus apella"	"Primata"	39.178	NA	1140000000	NA	2550000000	NA	29180	NA	64980	NA	2.237	NA	"Herculano-Houzel et al., 2007"
"Macaca radiata"	"Primata"	48.274	NA	1655707140	NA	3808672860	NA	34298	NA	78897	NA	2.3	NA	"Gabi et al., 2010"
