"Species"	"Order"	"Cerebellum Mass, g"	"Cerebellum Mass, g SD"	"Cerebellum N, n"	"Cerebellum N, n SD"	"Cerebellum O, n"	"Cerebellum O, n SD"	"Cerebellum N/mg"	"Cerebellum N/mg SD"	"Cerebellum O/mg"	"Cerebellum O/mg SD"	"Cerebellum O/N"	"Cerebellum O/N SD"	"Cerebellum Source"
"Sorex fumeus"	"Eulipotyphla"	0.02	0.002	20870000	4660000	5290000	2120000	1038666	214440	258073	85510	0.253	NA	"Sarko et al., 2009"
"Blarina brevicauda"	"Eulipotyphla"	0.037	0.005	33430000	5821000	4410000	1280000	919942	19721	118736	25620	0.132	NA	"Sarko et al., 2009"
"Heterocephalus glaber"	"Glires"	0.048	0.004	15742270	2849254	5482730	1274352	327280	48331	115748	32952	0.356	0.106	"Herculano-Houzel et al., 2011"
"Mus musculus"	"Glires"	0.056	0.005	42219708	9277647	6947791	1502773	746691	128541	123493	25715	0.165	0.017	"Herculano-Houzel et al., 2006"
"Amblysomus hottentotus"	"Afrotheria"	0.084	NA	34488379	3207000	8155621	813000	409687	18667	96849	5069	0.236	0.002	"Neves et al., 2014"
"Parascalops breweri"	"Eulipotyphla"	0.102	0.005	100780000	13850000	7010000	1100000	997370	173030	68795	7910	0.07	NA	"Sarko et al., 2009"
"Condylura cristata"	"Eulipotyphla"	0.138	0.012	105920000	22100000	19480000	6420000	776460	181530	139912	39720	0.184	NA	"Sarko et al., 2009"
"Mesocricetus auratus"	"Glires"	0.145	0.03	61210000	12351246	7430000	1713108	424002	3743	51332	1054	0.121	0.004	"Herculano-Houzel et al., 2006"
"Scalopus aquaticus"	"Eulipotyphla"	0.153	0.008	158550000	13630000	17510000	3160000	1037390	63570	114660	20790	0.11	NA	"Sarko et al., 2009"
"Elephantulus myurus"	"Afrotheria"	0.168	NA	89312372	2852000	23368628	1279000	531494	10651	139028	5956	0.261	0.005	"Neves et al., 2014"
"Rattus norvegicus"	"Glires"	0.272	0.038	139171882	11185675	29005617	6282204	522688	108847	108555	29355	0.209	0.047	"Herculano-Houzel et al., 2006"
"Petrodromus tetradactylus"	"Afrotheria"	0.304	NA	110653150	14948000	34657851	15801000	362537	15780	110153	41831	0.299	0.102	"Neves et al., 2014"
"Tupaia glis"	"Scandentia"	0.326	0.018	185280000	16980000	19980000	1510000	571460	83200	61600	7990	0.108	NA	"Herculano-Houzel et al., 2007"
"Proechimys cayennensis"	"Glires"	0.33	0.026	162512050	3553848	36372950	5094068	494338	28466	110122	6716	0.224	0.026	"Herculano-Houzel et al., 2011"
