"Species"	"Order"	"RoB Mass, g"	"RoB Mass, g SD"	"RoB N, n"	"RoB N, n SD"	"RoB O, n"	"RoB O, n SD"	"RoB N/mg"	"RoB N/mg SD"	"RoB O/mg"	"RoB O/mg SD"	"RoB O/N"	"RoB O/N SD"	"RoB Source"
"Sorex fumeus"	"Eulipotyphla"	0.072	0.01	5560000	1490000	8280000	1440000	75941	11870	114880	17860	1.489	0.294	"Sarko et al., 2009"
"Blarina brevicauda"	"Eulipotyphla"	0.113	0.009	6340000	636200	13320000	1120000	55924	2130	117736	5840	2.102	0.096	"Sarko et al., 2009"
"Heterocephalus glaber"	"Glires"	0.16	0.019	4981317	853026	10310350	1843572	31674	8484	64145	3790	2.125	NA	"Herculano-Houzel et al., 2011"
"Mus musculus"	"Glires"	0.172	0.019	11960000	1577022	14850000	3590591	64301	6623	79839	11249	1.242	NA	"Herculano-Houzel et al., 2006"
"Parascalops breweri"	"Eulipotyphla"	0.228	0.009	7130000	920000	31380000	1500000	31276	3180	137960	7180	4.401	0.375	"Sarko et al., 2009"
"Condylura cristata"	"Eulipotyphla"	0.244	0.026	8160000	2180000	31550000	5950000	33475	8560	128990	17820	3.866	1.692	"Sarko et al., 2009"
"Amblysomus hottentotus"	"Afrotheria"	0.289	0.013	9070358	1069000	16834642	3276000	31616	5124	58880	13983	1.839	0.144	"Neves et al., 2014"
"Scalopus aquaticus"	"Eulipotyphla"	0.37	0.042	16560000	2990000	45690000	4820000	44620	4900	123600	2550	2.759	0.379	"Sarko et al., 2009"
"Mesocricetus auratus"	"Glires"	0.375	0.057	5870000	1162059	21330000	8878857	15611	715	55804	15174	3.556	NA	"Herculano-Houzel et al., 2006"
"Elephantulus myurus"	"Afrotheria"	0.401	0.063	14012533	3258000	28997467	7906000	34520	2702	70967	8566	2.048	0.088	"Neves et al., 2014"
"Microcebus murinus"	"Primata"	0.5	NA	11014640	NA	50865360	NA	22029	NA	101731	NA	4.618	NA	"Gabi et al., 2010"
"Rattus norvegicus"	"Glires"	0.683	0.153	18678758	4243909	47221243	5979982	27813	6171	71760	18475	2.587	NA	"Herculano-Houzel et al., 2006"
"Proechimys cayennensis"	"Glires"	0.824	0.006	13492039	1533120	73068898	2691449	16381	1973	88667	2658	5.462	NA	"Herculano-Houzel et al., 2011"
"Petrodromus tetradactylus"	"Afrotheria"	0.894	0.022	12231811	188000	28204189	5408000	13696	547	31716	6830	2.3	0.407	"Neves et al., 2014"
"Tupaia glis"	"Scandentia"	0.919	0.072	22480000	NA	87080000	NA	25900	NA	100320	NA	3.874	NA	"Herculano-Houzel et al., 2007"
