"Species"	"Order"	"Olfactory bulb n"	"Olfactory bulb Mass	 g"	"Olfactory bulb Mass	 g SD"	"Olfactory bulb N	 n"	"Olfactory bulb N	 n SD"	"Olfactory bulb O	 n"	"Olfactory bulb O	 n SD"	"Olfactory bulb N/mg"	"Olfactory bulb N/mg SD"	"Olfactory bulb O/mg"	"Olfactory bulb O/mg SD"	"Olfactory bulb O/N"	"Olfactory bulb O/N SD"	"Olfactory bulb Source"
"Callithrix jacchus"	"Primata"	5	0.008	0.014	2108078	983420	2547922	960104	232309	137605	269383	105563	1.209	NA	"Ribeiro et al., 2014"
"Sorex fumeus"	"Eulipotyphla"	3	0.012	0.002	3330000	1050000	2760000	130000	289806	124350	235249	44620	0.829	214	"Sarko et al., 2009"
"Mus musculus"	"Glires"	4	0.014	0.004	3893300	1246396	5456700	1154502	257475	34036	371204	75573	1.454	0.26	"Herculano-Houzel et al., 2006"
"Heterocephalus glaber"	"Glires"	3	0.021	0.001	2303030	636099	3571970	1548861	108895	22957	167991	62442	1.516	0.254	"Herculano-Houzel et al., 2011"
"Blarina brevicauda"	"Eulipotyphla"	5	0.026	0.003	8090000	935900	4910000	730000	318164	34950	193631	31450	0.607	0.125	"Sarko et al., 2009"
"Microcebus murinus"	"Primata"	2	0.03	0.008	7636912	119088	9723088	842576	270894	61946	341900	54311	1.273	NA	"Ribeiro et al., 2014"
"Condylura cristata"	"Eulipotyphla"	4	0.04	0.005	10550000	4290000	7470000	970000	254720	74620	185124	19370	0.708	0.328	"Sarko et al., 2009"
"Parascalops breweri"	"Eulipotyphla"	3	0.049	0.008	16750000	6370000	10910000	3400000	333590	81590	217440	41370	0.651	0.168	"Sarko et al., 2009"
"Elephantulus myurus"	"Afrotheria"	2	0.05	0.01	9693534	1745000	4919466	NA	194678	5708	97872	NA	0.507	NA	"Neves et al., 2014"
"Aotus trivirgatus"	"Primata"	6	0.05	0.012	7925468	3114924	8360532	3213106	155879	62241	162922	44209	1.055	NA	"Ribeiro et al., 2014"
"Mesocricetus auratus"	"Glires"	2	0.055	0.011	5747930	347203	5507170	2277605	105418	27498	96197	21237	0.972	0.455	"Herculano-Houzel et al., 2006"
"Rattus norvegicus"	"Glires"	5	0.074	0.022	11103272	3202766	9238728	2250728	152373	26913	126210	8033	0.848	0.145	"Herculano-Houzel et al., 2006"
"Scalopus aquaticus"	"Eulipotyphla"	3	0.082	0.005	34610000	5960000	17780000	2060000	423520	94950	215230	14600	0.514	0.154	"Sarko et al., 2009"
"Macaca mulatta"	"Primata"	1	0.088	NA	8473800	NA	11006200	NA	96293	NA	125070	NA	1.299	NA	"Ribeiro et al., 2014"
"Tupaia glis"	"Scandentia"	16	0.1	0.032	12700000	3584952	20068000	6541838	130173	17451	205876	51596	1.58	NA	"Herculano-Houzel et al., 2007"
"Cavia porcellus"	"Glires"	2	0.103	0.013	6065700	1295335	10154300	4220098	58560	5340	96793	29011	1.637	0.346	"Herculano-Houzel et al., 2006"
"Proechimys cayennensis"	"Glires"	1	0.132	NA	9141540	NA	21128460	NA	69254	NA	160064	NA	2.311	NA	"Herculano-Houzel et al., 2011"
"Oryctolagus cuniculus"	"Glires"	1	0.156	NA	18765000	NA	22935000	NA	120288	NA	147019	NA	1.222	NA	"Herculano-Houzel et al., 2011"
"Petrodromus tetradactylus"	"Afrotheria"	2	0.159	0.009	12828365	380000	14775635	NA	80805	3084	91369	NA	1.141	NA	"Neves et al., 2014"
"Otolemur garnettii"	"Primata"	11	0.2	0.016	30237060	9645480	34244000	7155556	149219	47590	170505	39463	1.133	NA	"Ribeiro et al., 2014"
"Sciurus carolinensis"	"Glires"	9	0.212	0.022	28845724	7903412	39015942	12812316	137532	38236	185359	58050	1.478	0.776	"Herculano-Houzel et al., 2011"
"Procavia capensis"	"Afrotheria"	1	0.286	NA	20909490	NA	14790510	NA	73110	NA	51715	NA	0.707	NA	"Neves et al., 2014"
"Dasyprocta prymnolopha"	"Glires"	3	0.737	0.162	58124085	4952795	72595915	19682805	88008	14973	107301	1958	1.239	0.233	"Herculano-Houzel et al., 2006"
"Sus scrofa domesticus"	"Artiodactyla"	1	0.822	NA	9195500	NA	77554500	NA	11187	NA	94348	NA	8.434	NA	"Kazu et al., 2014"
"Antidorcas marsupialis"	"Artiodactyla"	1	1.2	NA	15998400	NA	105201600	NA	13332	NA	87668	NA	6.576	NA	"Kazu et al., 2014"
"Hydrochoerus hydrochaeris"	"Glires"	2	1.302	0.031	28560310	8515588	67389690	21015416	21864	6018	51544	17981	2.333	0.18	"Herculano-Houzel et al., 2006"
"Giraffa camelopardalis"	"Artiodactyla"	1	2.052	NA	24678000	NA	232384500	NA	12026	NA	113248	NA	9.417	NA	"Kazu et al., 2014"
"Tragelaphus strepsiceros"	"Artiodactyla"	1	5.546	NA	38331562	NA	362731438	NA	6912	NA	58913	NA	8.523	NA	"Kazu et al., 2014"
"Loxodonta africana"	"Afrotheria"	1	41.886	NA	908371986	NA	2857878014	NA	21687	NA	68230	NA	3.146	NA	"Herculano-Houzel et al., 2014"
