"Species"	"Order"	"Whole brain n"	"Body mass	 g"	"Body mass	 g SD"	"Brain mass	 g"	"Brain mass	 g SD"	"Whole brain Neurons"	"Whole brain Neurons SD"	"Whole brain Other cells"	"Whole brain Other cells SD"	"Whole brain % Neurons"	"Whole brain % Neurons SD"	"Whole brain Source"
"Sorex fumeus"	"Eulipotyphla"	3	7.8	0.1	0.176	0.007	36460000	4567000	22860000	3956000	61.3	1.4	"Sarko et al., 2009"
"Blarina brevicauda"	"Eulipotyphla"	5	16.2	1.6	0.347	NA	55190000	6126000	33550000	1222000	64.8	2.3	"Sarko et al., 2009"
"Heterocephalus glaber"	"Glires"	3	23.3	5.9	0.392	0.045	26875462	3340087	24191205	1739102	52.5	3.3	"Herculano-Houzel et al., 2011"
"Mus musculus"	"Glires"	4	40.4	11.6	0.402	0.028	67873741	10406194	33858759	6657119	65.3	2.3	"Herculano-Houzel et al., 2006"
"Parascalops breweri"	"Eulipotyphla"	3	42.7	9.1	0.759	0.024	123600000	12470000	78260000	6095000	61.2	4.1	"Sarko et al., 2009"
"Condylura cristata"	"Eulipotyphla"	4	41.1	4.7	0.802	0.046	131330000	21229000	83040000	19046000	61.3	6.3	"Sarko et al., 2009"
"Amblysomus hottentotus"	"Afrotheria"	2	79	NA	0.812	0.044	65074000	2124000	46631000	527000	NA	NA	"Neves et al., 2014"
"Mesocricetus auratus"	"Glires"	2	168.1	13.6	0.965	0.136	84220000	9893371	70640000	11942086	54.3	1.3	"Herculano-Houzel et al., 2006"
"Scalopus aquaticus"	"Eulipotyphla"	3	95.3	9.8	0.999	0.08	203520000	14587000	101740000	11823000	66.7	1.4	"Sarko et al., 2009"
"Elephantulus myurus"	"Afrotheria"	2	45.1	NA	1.04	0.082	129190603	4424000	78594397	7733000	NA	NA	"Neves et al., 2014"
"Rattus norvegicus"	"Glires"	4	315.1	102.9	1.724	0.292	188867832	12622383	121914668	7106729	60.7	2.4	"Herculano-Houzel et al., 2006"
"Microcebus murinus"	"Primata"	1	60	NA	1.799	NA	254711180	NA	138948820	NA	64.7	NA	"Gabi et al., 2010"
"Proechimys cayennensis"	"Glires"	2	223.485	16.6	2.078	0.071	202090113	2931245	181274887	4310103	52.7	1	"Herculano-Houzel et al., 2011"
"Petrodromus tetradactylus"	"Afrotheria"	2	132.5	NA	2.44	0.109	156830795	20600000	103349000	15610000	NA	NA	"Neves et al., 2014"
"Tupaia glis"	"Scandentia"	2	172.5	3.5	2.752	0.011	261400000	NA	199650000	NA	56.7	NA	"Herculano-Houzel et al., 2007"
"Cavia porcellus"	"Glires"	2	311	49.1	3.656	0.486	233557275	4085741	228087725	9141554	50.6	1.4	"Herculano-Houzel et al., 2006"
"Cynomys sp."	"Glires"	3	1515	230.6	5.321	0.197	437943767	78742230	417349567	27350023	51	4.2	"Herculano-Houzel et al., 2011"
"Sciurus carolinensis"	"Glires"	3	500	NA	5.548	0.306	453660197	59752698	530476469	5605837	46	3	"Herculano-Houzel et al., 2011"
"Callithrix jacchus"	"Primata"	3	361	1.4	7.78	0.654	635800000	115730000	590740000	70810000	51.7	NA	"Herculano-Houzel et al., 2007"
"Oryctolagus cuniculus"	"Glires"	1	4600	NA	9.132	NA	494205000	NA	630795000	NA	43.9	NA	"Herculano-Houzel et al., 2011"
"Otolemur garnettii"	"Primata"	3	946.7	102.6	10.15	0.06	9.36e+08	115360000	666590000	63500000	58.4	NA	"Herculano-Houzel et al., 2007"
"Dendrohyrax dorsalis"	"Afrotheria"	1	1150	NA	12.8	NA	504572834	NA	413574000	NA	NA	NA	"Neves et al., 2014"
"Aotus trivirgatus"	"Primata"	2	925	35	15.73	NA	1468410000	NA	1195130000	NA	55.1	NA	"Herculano-Houzel et al., 2007"
"Procavia capensis"	"Afrotheria"	2	2517	NA	16.853	1.495	755653000	72145000	620622000	37616000	NA	NA	"Neves et al., 2014"
"Dasyprocta prymnolopha"	"Glires"	3	2843	196	17.628	1.9	795112070	NA	951677930	NA	45.5	NA	"Herculano-Houzel et al., 2006"
"Saimiri sciureus"	"Primata"	2	859	NA	30.216	NA	3246430000	NA	2073030000	NA	61	NA	"Herculano-Houzel et al., 2007"
"Macaca fascicularis"	"Primata"	1	5700	NA	46.162	NA	3439004620	NA	3154415380	NA	52.2	NA	"Gabi et al., 2010"
"Cebus apella"	"Primata"	1	3340	NA	52.208	NA	3690520000	NA	3297740000	NA	52.8	NA	"Herculano-Houzel et al., 2007"
"Macaca radiata"	"Primata"	1	8012	NA	61.47	NA	3755620300	NA	4878879700	NA	43.5	NA	"Gabi et al., 2010"
"Sus scrofa domesticus"	"Artiodactyla"	1	1e+05	NA	64.18	NA	2224112553	NA	4695783705	NA	32.1	NA	"Kazu et al., 2014"
"Hydrochoerus hydrochaeris"	"Glires"	2	47500	3536	74.734	3.756	1572560385	72641426	3197929615	974583717	33.6	5.8	"Herculano-Houzel et al., 2006"
"Macaca mulatta"	"Primata"	1	3900	NA	87.346	NA	6376160000	NA	7162900000	NA	47.1	NA	"Herculano-Houzel et al., 2007"
"Antidorcas marsupialis"	"Artiodactyla"	1	25000	NA	106.074	NA	2724595233	NA	5912784575	NA	31.5	NA	"Kazu et al., 2014"
"Papio anubis cynocephalus"	"Primata"	2	8000	NA	151.194	NA	10948086440	NA	9175538564	NA	54.4	NA	"Gabi et al., 2010"
"Damaliscus dorcas phillipsi"	"Artiodactyla"	1	60000	NA	154.718	NA	3058814227	NA	9343246559	NA	24.7	NA	"Kazu et al., 2014"
"Tragelaphus strepsiceros"	"Artiodactyla"	1	218000	NA	306.86	NA	4911651549	NA	16977183580	NA	22.4	NA	"Kazu et al., 2014"
"Giraffa camelopardalis"	"Artiodactyla"	1	470000	NA	537.218	NA	10751287650	NA	37912932350	NA	23.5	NA	"Kazu et al., 2014"
"Homo sapiens"	"Primata"	4	70000	NA	1508.91	299.14	8.606e+10	8.12e+09	8.461e+10	9.83e+09	50.5	3.6	"Azevedo et al., 2009"
"Loxodonta africana"	"Afrotheria"	1	5e+06	NA	4618.62	NA	257043473412	NA	216057982337	NA	NA	NA	"Herculano-Houzel et al., 2014"
