Species	Body_weight	Brain_weight_g	Neonate_brain_weight_g	Neocortex_mm^3	GI	Ventricle_mm^3	Maximum_lifespan_yrs	Age_at_first_breeding_F_mnths	Age_at_first_breeding_days	Female_sexual_maturity_days	Male_sexual_maturity_days	Gestation_days	Litter_size	Litters_per_year	Inter-litter_interval_days	Weaning_period_days	Weight_at_birth_g	Weight_at_weaning_g	Juvenility_primates_years	Juvenility_days	Max_home_range_ha	% Fruit and seeds	Activity_timing	Diet_breadth	Trophic_level	Population_group_size	Social_group_size	Adult_head_body_length_mm	Age_at_eye_opening_days	Altricial_precocial	Basal_metaboic_rate	Dispersal_age_days	Habitat_breadth	Social_system	Glia_neuron_ratio	Neuronal_denisty	Glial_cell_denisty	Neurogenic_period_days	Phylo_rank
Tachyglossus_aculeatus	4720,00	27,50	NA	NA	1,36	NA	49,50	NA	NA	548	548	22	1,00	NA	730	200	0,38	400,00	NA	NA	62,00	NA	2	1	3	NA	1,00	375,00	NA	NA	414,04	NA	2	NA	NA	NA	NA	NA	1
Mus_musculus	22,25	0,55	0,09	NA	1,03	NA	4,00	4,59	139,61	42	42	19	6,00	5,40	30	22	1,38	8,90	NA	117,61	0,06	NA	1	6	1	NA	NA	80,00	14,00	1	56,76	NA	2	3	NA	NA	NA	9	2
Rattus_norvegicus	314,67	2,41	0,28	NA	1,02	NA	4,00	2,99	90,95	90	70	21	8,95	3,70	NA	25	5,36	63,80	NA	65,95	0,25	NA	2	1	1	NA	NA	399,00	15,00	1	NA	NA	2	3	NA	NA	NA	10	3
Mesocricetus_auratus	115,00	1,01	0,06	NA	1,01	NA	3,90	2,42	73,61	48	48	16	7,65	3,00	NA	20	2,12	22,93	NA	53,61	NA	NA	1	4	2	NA	NA	180,00	13,00	1	NA	NA	1	3	NA	NA	NA	9	4
Castor_canadensis	21750,00	41,17	13,90	NA	1,02	NA	23,40	22,28	677,68	639	639	128	3,20	1,00	365	60	451,00	NA	NA	617,68	6,00	NA	2	3	1	NA	5,10	754,74	0,50	2	NA	729,99	3	NA	NA	NA	NA	NA	5
Hydrochoerus_hydrochaeris	42250,00	63,50	24,80	NA	1,30	NA	15,10	24,99	760,11	456	456	136	3,90	1,25	245	103	1350,00	8299,00	NA	657,11	10,00	NA	2	5	1	NA	10,00	1208,39	0,00	2	6596,25	NA	3	4	NA	NA	NA	NA	6
Dasyprocta_leporina	3265,00	17,20	7,72	NA	1,23	NA	17,80	NA	NA	193	NA	112	1,00	NA	NA	140	164,81	NA	NA	NA	NA	NA	3	3	1	NA	NA	572,29	0,00	2	1558,46	NA	1	1	1,12	77625,00	87096,00	NA	7
Oryctolagus_cuniculus*	2000,00	6,50	1,29	NA	1,15	NA	9,00	3,99	121,36	730	274	30	5,00	4,30	29	26	41,50	214,00	NA	95,36	1,65	NA	2	2	1	NA	NA	400,00	10,00	1	NA	NA	NA	3	NA	NA	NA	13	8
Cercopithecus_mitis	5041,29	67,00	NA	NA	1,78	NA	37,80	68,64	2087,80	1673	1673	132	1,00	0,50	515	315	366,40	NA	NA	1772,80	10,00	NA	3	4	2	NA	16,00	575,00	NA	2	3455,75	NA	NA	3	0,16	245471,00	39811,00	NA	9
Erythrocebus_patas	7421,40	105,65	NA	77141,00	1,91	561,00	21,60	36,00	1095,00	1246	1246	167	1,00	NA	365	234	546,50	1950,00	1,96	861,00	2824,00	75,00	3	4	2	20,50	28,00	665,00	NA	2	NA	NA	NA	4	0,37	416869,00	154882,00	NA	10
