"Species name"	"Br_C"	"Br_I"	"Br_I/mg"	"Br_I/N"	"Br_N"	"Br_N/mg"	"Br_No. of samples"	"Br_Structure mass (g)"	"Cb_C"	"Cb_I"	"Cb_I/mg"	"Cb_I/N"	"Cb_N"	"Cb_N/mg"	"Cb_No. of samples"	"Cb_Structure mass (g)"	"Ctx_C"	"Ctx_I"	"Ctx_I/mg"	"Ctx_I/N"	"Ctx_N"	"Ctx_N/mg"	"Ctx_No. of samples"	"Ctx_Structure mass (g)"	"Cx_C"	"Cx_I"	"Cx_I/mg"	"Cx_I/N"	"Cx_N"	"Cx_N/mg"	"Cx_No. of samples"	"Cx_Structure mass (g)"	"Hp_C"	"Hp_I"	"Hp_I/mg"	"Hp_I/N"	"Hp_N"	"Hp_N/mg"	"Hp_No. of samples"	"Hp_Structure mass (g)"	"P+M_C"	"P+M_I"	"P+M_I/mg"	"P+M_I/N"	"P+M_N"	"P+M_N/mg"	"P+M_No. of samples"	"P+M_Structure mass (g)"	"RoB_C"	"RoB_I"	"RoB_I/mg"	"RoB_I/N"	"RoB_N"	"RoB_N/mg"	"RoB_No. of samples"	"RoB_Structure mass (g)"
"Dendrohyrax dorsalis"	918138000	27176885	10129	0.052	504551401	39412	7	12.802	438500000	2367900	1235	0.007	360929350	188180	1	1.918	257310000	12325149	1805	0.136	90644478	13272	2	6.83	282500000	13842895	1832	0.14	98960000	13098	3	7.556	25190000	1516438	2089	0.182	8312700	11450	1	0.726	NA	NA	NA	NA	NA	NA	NA	NA	197138000	10982209	3299	0.246	44671471	13423	3	3.328
"Elephantulus myurus"	195628000	2699666	2818	0.022	124766317	130236	7	0.958	112681000	822571	4896	0.009	89312372	531494	2	0.168	34554000	580507	1631	0.035	16422814	46132	2	0.356	46970000	1052128	2338	0.048	21847255	48549	3	0.45	12080000	353944	4116	0.069	5159368	59993	1	0.086	NA	NA	NA	NA	NA	NA	NA	NA	43010000	1324708	3295	0.095	14012533	34520	2	0.401
"Loxodonta africana"	477844127344	20919937679	4562	0.081	257043473412	56071	388	4168.62	287226757500	7025615044	5982	0.028	250708527536	213983	80	1171.63	157990215478	11462555196	4149	2.063	5556610521	1968	263	2823.53	160509115478	11667281742	4192	2.086	5593241033	1964	264	2847.954	1763900000	199354517	8175	5.442	36630512	1500	1	24.426	NA	NA	NA	NA	NA	NA	NA	NA	28148254366	1947975176	3450	2.626	741704844	1314	44	564.674
"Petrodromus tetradactylus"	260180000	6564788	2743	0.042	156830795	64104	8	2.44	145311000	1278737	4206	0.012	110653150	362537	2	0.304	60480000	2921184	3018	0.106	27651699	28566	2	0.968	74433000	3908787	3019	0.115	33947000	27236	4	1.239	13953000	1067062	3032	0.17	6294000	23164	2	0.272	NA	NA	NA	NA	NA	NA	NA	NA	40436000	1217665	1845	0.1	12231811	13696	2	0.894
"Procavia capensis"	1376275000	57043095	3389	0.075	755653256	45576	12	16.853	579378000	7806491	3801	0.016	4883703000	242415	2	2.058	488188000	33099146	3604	0.193	171217186	18643	4	9.184	564554000	38108306	3637	0.193	197933000	19134	6	10.478	76311438	4994695	3860	0.187	26712953	21712	2	1.294	NA	NA	NA	NA	NA	NA	NA	NA	232343000	11199666	2594	0.161	69358240	16436	4	4.317
"Antidorcas marsupialis"	8557909526	402984165	3810	0.148	2724595233	25686	34	106.074	2724458750	58539299	5147	0.026	2257214074	196999	2	11.458	4216083590	254974497	3790	0.677	376412018	5758	28	65.372	4443685152	268018858	3791	0.675	396896159	5768	29	68.806	227601562	12973289	3778	0.633	20484141	5965	1	3.434	NA	NA	NA	NA	NA	NA	NA	NA	1389765624	84309976	3267	1.196	70485000	2731	3	25.81
"Giraffa camelopardalis"	48442643752	3335932264	6278	0.31	10751287650	19678	51	537.218	14398437500	298047656	4401	0.034	8878076563	131080	1	67.73	28341393752	2365907262	6278	1.415	1671925960	4272	44	391.322	29244220002	2430910509	6330	1.405	1730513460	4339	45	398.808	681250000	64786875	9327	1.106	58587500	8435	1	7.486	NA	NA	NA	NA	NA	NA	NA	NA	5021562500	495014837	7005	3.469	142697625	2019	5	70.68
"Sus scrofa domesticus"	6839205942	598831830	9310	0.269	2224112553	34654	28	64.18	2207031250	85632813	10536	0.046	1858320313	228632	1	8.128	3300354380	359715940	8932	1.244	289142456	7179	23	40.274	3476643442	388217638	9048	1.264	307082404	7276	24	42.202	146289062	22141064	11480	1.715	12907084	6692	1	1.928	NA	NA	NA	NA	NA	NA	NA	NA	1155531250	129924626	9386	2.213	58709836	4238	3	13.85
"Tragelaphus strepsiceros"	21751929	1204929478	3800	0.245	4911651549	16006	43	306.86	5308593750	96616406	3041	0.024	4042494141	127218	1	31.776	12392809376	799590074	3772	1.101	726411196	3588	36	202.434	13064871626	837474821	3718	1.098	762567178	3574	37	213.37	535156250	29326563	4710	3.946	28363281	2594	1	10.936	NA	NA	NA	NA	NA	NA	NA	NA	3515369752	284487989	4485	2.669	106590230	1727	5	61.716
"Canis familiaris"	7445924000	465370250	5382	0.207	2252694404	26054	94	86.462	2525312500	48233469	6421	0.029	1676633212	223194	2	7.512	3801711500	302616235	4767	0.583	519305298	8180	84	63.481	3944367750	313577236	4788	0.594	527911882	8061	86	65.491	142656250	11141453	5543	1.295	8606584	4282	2	2.01	NA	NA	NA	NA	NA	NA	NA	NA	976243750	103384213	7681	2.147	48149310	3577	6	13.459
"Felis catus"	2944001250	105689645	3032	0.087	1215209144	34862	48	34.858	1.269e+09	21826800	4271	0.023	942902390	184521	1	5.11	1282938750	71716276	3078	0.297	241786292	10377	43	23.3	1346938750	73677550	3048	0.295	249834196	10334	44	24.176	6.4e+07	1952000	2228	0.243	8047904	9187	1	0.876	NA	NA	NA	NA	NA	NA	NA	NA	328062500	10202744	1831	0.454	22472558	4033	3	5.572
