region	neurones	vol
par	49520.42455815764	0.6808510638297882
il	113457.32508885533	1.3617021276595755
fr	127752.08140610544	1.9696048632218854
orb	106869.85734456398	2.2613981762917943
ect	145338.13720239542	2.1398176291793316
c	154968.59632893518	2.042553191489363
V2L	198344.61268805683	1.41033434650456
V2M	204722.72262524947	1.5562310030395148
S2	226904.91260528745	2.7720364741641337
ins	254004.5766590389	3.4285714285714297
rs	313316.130288719	3.2097264437689983
S1l	348556.40488826134	3.2097264437689983
a	375738.83830760984	3.452887537993922
ent	398052.485515361	4.012158054711247
pir	351448.4638979502	4.765957446808511
m	506417.06022688537	6.808510638297873
V1	475125.3712449486	3.0881458966565356
S1f	671220.6047032473	7.732522796352584
