"Species"	"N"	"# Left"	"# Left %"	"# Right"	"# Right %"	"# Ambipreferent"	"# Ambipreferent %"	"MeanHI"	"MeanAbsHI"	"Species direction bias (HI), p value"	"Species L/R/A distribution, p value"	"nGenus"	"Genus direction bias (HI), p value"	"Genus L/R/A distribution, p value"	"Species note"
"Ateles fusciceps"	46	20	43.5	22	47.8	4	8.7	0.063	0.798	"0.61799999999999999"	"0.28799999999999998"	87	"0.75900000000000001"	"3.1E-2"	NA
"Ateles geoffroyi"	23	10	43.5	11	47.8	2	8.7	0.061	0.829	"0.748"	"0.53600000000000003"	87	"0.75900000000000001"	"3.1E-2"	NA
"Ateles hybridus"	18	13	72.2	5	27.8	0	0	-0.377	0.917	"8.5999999999999993E-2"	"1.7999999999999999E-2"	87	"0.75900000000000001"	"3.1E-2"	NA
"Cercocebus torquatus"	31	13	41.9	11	35.5	7	22.6	-0.029	0.665	"0.83199999999999996"	"0.83599999999999997"	31	"0.83199999999999996"	"0.83599999999999997"	NA
"Cercopithecus diana"	20	7	35	10	50	3	15	0.178	0.755	"0.33900000000000002"	"0.83599999999999997"	45	"0.57199999999999995"	"0.222"	NA
"Cercopithecus neglectus"	25	14	56	7	28	4	16	-0.258	0.621	"6.0999999999999999E-2"	"0.14000000000000001"	45	"0.57199999999999995"	"0.222"	NA
"Gorilla gorilla"	76	17	22.4	41	53.9	18	23.7	0.248	0.541	"<0.001*"	"7.0000000000000001E-3"	76	"<0.001*"	"7.0000000000000001E-3"	"Western gorilla"
"Homo sapiens"	127	12	9.5	111	87.4	4	3.1	0.761	0.943	"<0.001*"	"<0.001*"	127	"<0.001*"	"<0.001*"	NA
"Hylobates lar"	36	17	47.2	16	44.5	3	8.3	-0.011	0.614	"0.92400000000000004"	"0.182"	58	"0.61199999999999999"	"0.125"	NA
"Hylobates moloch"	22	11	50	8	36.4	3	13.6	-0.115	0.799	"0.54"	"0.55200000000000005"	58	"0.61199999999999999"	"0.125"	NA
"Leontopithecus chrysomelas"	30	7	23.3	12	40	11	36.7	0.151	0.514	"0.17100000000000001"	"1.2E-2"	73	"0.24099999999999999"	"<0.001*"	NA
